WorkstationGroupID,TranID,BeginDateTime,EndDateTime,OperatorID,TranTime,BreakTime,ArtNum,TNcash,TNcard,Amount
1,19040310601356,2019-04-03T13:28:17,2019-04-03T13:28:17,10,0,1,1,FALSE,FALSE,11.99
1,19032910607385,2019-03-29T14:04:50,2019-03-29T14:05:31,101,41,21,6,TRUE,FALSE,13.74
1,19032910607386,2019-03-29T14:05:52,2019-03-29T14:06:35,101,43,44,12,TRUE,FALSE,97.47
1,19032910607387,2019-03-29T14:07:19,2019-03-29T14:07:43,101,24,25,6,FALSE,TRUE,37.18
1,19032910607389,2019-03-29T14:08:08,2019-03-29T14:09:44,101,96,18,48,TRUE,FALSE,154.7
1,19032910607390,2019-03-29T14:10:02,2019-03-29T14:10:02,101,0,270,22,FALSE,FALSE,108.06
1,19032910607398,2019-03-29T14:14:32,2019-03-29T14:14:45,101,13,33,5,TRUE,FALSE,19.36
1,19032910607399,2019-03-29T14:15:18,2019-03-29T14:15:49,101,31,71,5,TRUE,FALSE,16.26
1,19032910607401,2019-03-29T14:17:00,2019-03-29T14:17:57,101,57,45,25,FALSE,TRUE,60.39
1,19032910607403,2019-03-29T14:18:42,2019-03-29T14:22:24,101,222,16,73,FALSE,TRUE,367.73
1,19032910607405,2019-03-29T14:22:40,2019-03-29T14:23:16,101,36,61,7,FALSE,TRUE,77.93
1,19032910607409,2019-03-29T14:24:17,2019-03-29T14:26:19,101,122,23,34,TRUE,FALSE,104.52
1,19032910607410,2019-03-29T14:26:42,2019-03-29T14:27:38,101,56,21,15,FALSE,TRUE,97.61
1,19032910607412,2019-03-29T14:27:59,2019-03-29T14:28:35,101,36,37,11,TRUE,FALSE,64.41
1,19032910607413,2019-03-29T14:29:12,2019-03-29T14:30:03,101,51,30,8,FALSE,TRUE,25.27
1,19032910607415,2019-03-29T14:30:33,2019-03-29T14:31:38,101,65,12,12,FALSE,TRUE,42.18
1,19032910607417,2019-03-29T14:31:50,2019-03-29T14:32:03,101,13,11,2,FALSE,TRUE,4.18
1,19032910607419,2019-03-29T14:32:14,2019-03-29T14:33:46,101,92,25,40,FALSE,TRUE,118.49
1,19032910607421,2019-03-29T14:34:11,2019-03-29T14:35:35,101,84,14,28,FALSE,TRUE,155.46
1,19032910607423,2019-03-29T14:35:49,2019-03-29T14:36:47,101,58,18,8,FALSE,TRUE,59.91
1,19032910607425,2019-03-29T14:37:05,2019-03-29T14:38:32,101,87,52,29,TRUE,FALSE,232.3
1,19032910607426,2019-03-29T14:39:24,2019-03-29T14:40:12,101,48,18,16,FALSE,TRUE,83.87
1,19032910607428,2019-03-29T14:40:30,2019-03-29T14:41:42,101,72,28,23,TRUE,FALSE,59.73
1,19032910607429,2019-03-29T14:42:10,2019-03-29T14:42:48,101,38,27,9,TRUE,FALSE,18.37
1,19032910607430,2019-03-29T14:43:15,2019-03-29T14:45:10,101,115,24,52,TRUE,FALSE,179.62
1,19032910607431,2019-03-29T14:45:34,2019-03-29T14:46:08,101,34,19,5,TRUE,FALSE,10.31
1,19032910607432,2019-03-29T14:46:27,2019-03-29T14:49:11,101,164,34,70,TRUE,FALSE,246.19
1,19032910607433,2019-03-29T14:49:45,2019-03-29T14:50:35,101,50,20,11,TRUE,FALSE,57.5
1,19032910607434,2019-03-29T14:50:55,2019-03-29T14:52:56,101,121,12,69,FALSE,TRUE,187.89
1,19032910607436,2019-03-29T14:53:08,2019-03-29T14:53:29,101,21,31,11,TRUE,FALSE,28.89
1,19032910607437,2019-03-29T14:54:00,2019-03-29T14:54:25,101,25,42,6,TRUE,FALSE,29.16
